no,name,code,gu,zip,tel,fax,www,hr,off,class,lati,longi,year
1543,삼성도서관,8,강남구,서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층,02-568-9984,02-568-9983,http://sslib.gangnam.go.kr,,법정공휴일,작은도서관,37.5144109,127.0625036,20091021
1697,삼성서울병원 의학정보센터,8,강남구,서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층,02-3410-3939,,http://library.samsunghospital.com,,일요일 법정공휴일,,37.488943,127.087642,
21,서울특별시교육청강남도서관,8,강남구,서울특별시 강남구 선릉로116길 45,02-3448-4741~5,관리과 : 02-517-9194 자료봉사과 : 02-3443-4713,http://gnlib.sen.go.kr,,매월 첫째 셋째 수요일 / 법정공휴일.,공공도서관,37.513698,127.046982,19820323
22,서울특별시교육청개포도서관,8,강남구,서울특별시 강남구 선릉로4길 30,02-3460-8200,,http://gplib.sen.go.kr/gplib_index.jsp,,매월 둘째 네째 목요일 / 일요일을 제외한 법정공휴일 및 임시공휴일,공공도서관,37.483034,127.063861,19840328
1256,세곡도서관,8,강남구,서울특별시 강남구 밤고개로 286 세곡동주민센터,02-445-0297,,http://sklib.gangnam.go.kr/,,법정공휴일,작은도서관,37.4690498,127.1070996,20030627
1577,세곡리엔파크5단지 도서관,8,강남구,서울특별시 강남구 헌릉로590길 63,02-451-7070,,,,,작은도서관,37.4616289,127.1012121,
121,수서동작은도서관,8,강남구,서울특별시 강남구 광평로 301-4 수서동주민센터,02-3423-8570,3423-8960,http://www.gangnam.go.kr/dong/main/main.do?dongCode=401401,,금토일요일 법정공휴일,작은도서관,37.4891691,127.1049117,20110110
1847,신사 나눔 작은도서관,8,강남구,서울특별시 강남구 논현로159길 42(신사동),,,,,-,작은도서관,37.522244,127.02477,
119,신사동작은도서관,8,강남구,서울특별시 강남구 압구정로 128 신사동주민센터,02-3423-7334,,http://sinsalib.gangnam.go.kr/,,토일요일 법정공휴일,작은도서관,37.5242712,127.0227798,20110110
1578,아름다운도서관,8,강남구,서울특별시 강남구 논현로68길 5,02-554-0191,,,,,작은도서관,37.4947139,127.0405092,
120,압구정동작은도서관,8,강남구,서울특별시 강남구 압구정로33길 48 압구정동주민센터,02-3423-7634,3423-8943,http://agjlib.gangnam.go.kr/,,토일요일 법정공휴일,작은도서관,37.5309009,127.0307168,20110110
1579,에스모드서울 패션 라이브러리,8,강남구,서울특별시 강남구 압구정로 106,02-511-7478,,,,토일요일,작은도서관,37.5234946,127.0202045,
117,역삼2동작은도서관,8,강남구,서울특별시 강남구 언주로 314,02-567-0930,,,,토일요일 법정공휴일,작은도서관,37.4964057,127.0468046,20100401
81,역삼도서관,8,강남구,서울특별시 강남구 역삼로7길 16,02-508-1139,02-508-1139,http://yslib.gangnam.go.kr/,,13번째 월요일 및 법정 공휴일,공공도서관,37.495188,127.033216,20070109
1258,열린도서관,8,강남구,서울특별시 강남구 학동로 343,02-6004-3970,,http://yllib.gangnam.go.kr/,,일요일,작은도서관,37.5174376,127.0406393,20080102
1580,이편한세상 도서관,8,강남구,서울특별시 강남구 헌릉로 571길 20,02-3411-9245,,,,,작은도서관,37.4668352,127.1028015,
1570,일원1동 작은도서관,8,강남구,서울시 강남구 양재대로55길 14,02-3423-8370,,,,매주 토요일일요일,작은도서관,37.4918876,127.0880196,
118,일원본동작은도서관,8,강남구,서울특별시 강남구 광평로 126 일원본동주민센터,02-3423-8284,3423-8957,http://library.gangnam.go.kr,,토일요일 법정공휴일,작은도서관,37.4837879,127.0864579,20110110
52,정다운도서관,8,강남구,서울특별시 강남구 학동로67길 11 3층정다운도서관,02-512-9326,팩스없음,http://jdwlib.gangnam.go.kr/,,매월 둘째 넷째 화요일 및 법정공휴일,공공도서관,37.519051,127.04643,20041001
51,즐거운도서관,8,강남구,서울특별시 강남구 도곡로77길 23,02-565-7533,563-7383,http://library.gangnam.go.kr,,첫번째 세번째 월요일,공공도서관,37.49978,127.05777,20040901
47,청담도서관,8,강남구,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,02-540-7042,,http://cdlib.gangnam.go.kr/,,매월 첫재 셋째 월요일 및 일요일을 제외한 법정공휴일,공공도서관,37.525052,127.049284,19991011
1581,키즈니 영어도서관,8,강남구,서울특별시 강남구 영릉대로 216,02-569-7720,,,,매주 월요일일요일,작은도서관,37.4991225,127.0694826,
1694,통계청 나라셈 도서관,8,강남구,서울특별시 강남구 언주로 72 서울세관 별관 4층 나라셈도서관,02-3438-8502,,http://cafe.naver.com/narasemlib,,토요일 일요일 법정공휴일,,37.51832,127.033965,
1544,푸르지오 책사랑,8,강남구,서울특별시 강남구 자곡로 21 세곡LH푸르지오 아파트,070-8766-4219,,,,매주 토요일일요일,작은도서관,37.4667729,127.0934916,20131218
74,하상시각장애인도서관,8,강남구,서울특별시 강남구 개포로 613 하상장애인복지회관,02-451-6000,02-459-4377,http://onsori.or.kr,,일요일 공휴일,장애인도서관,37.492508,127.075112,20020503
1700,한국고등교육재단 정보자료실,8,강남구,서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층,02-554-3512,,http://www.kfas.or.kr/Library/Library0101.aspx,,주말 공휴일,,37.501786,127.039047,
1695,한국관세무역개발원 자료실,8,강남구,서울특별시 강남구 언주로 735 관우빌딩 6층,02-3416-5112,,http://kctdi.libp.net/,,토요일 일요일 법정공휴일,,37.52075,127.033724,
1699,한국무역협회 정보자료실,8,강남구,서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호,02-6000-5109,,http://edms.kita.net,,토요일 일요일 법정공휴일,,37.510324,127.061023,
1696,한국문학번역원 번역전문도서관,8,강남구,서울특별시 강남구 영동대로112길 32,02-6919-7755,,http://library.klti.or.kr/?language=ko,,토요일일요일 법정공휴일,,37.515189,127.062829,
104,한국지식재산연구원 지식재산전문도서관,8,강남구,서울특별시 강남구 테헤란로 131 한국지식재산센터 3층,02-2189-2681~2,02-2189-2696,http://lib.kiip.re.kr,,공휴일,,37.500029,127.032914,20090213
53,행복한도서관,8,강남구,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),02-567-3833,02-565-3834,http://happylib.gangnam.go.kr/,,24주 화요일과 일요일을 제외한 법정공휴일,공공도서관,37.502246,127.06416,20060916
146,가람슬기작은도서관,10,강동구,서울특별시 강동구 강동대로53길 76 (성내동),02-474-4030,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.525986,127.132819,19950630
1971,강동구립 천호도서관,10,강동구,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),02-488-7223,,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,공공도서관,37.540414,127.133902,
1702,강동성심병원 의학도서실,10,강동구,서울특별시 강동구 성안로 150 강동성심병원 제2별관 교육연구관 5층,02-2224-2172,,http://dl.hallym.or.kr/hl/,,토요일(격주)일요일 법정공휴일,,37.5361,127.13535,
1262,강동육아누리도서관,10,강동구,서울특별시 강동구 상암로 168 강동구민회관 2층,02-487-3516,487-3518,www.gdkids.or.kr,,일요일,작은도서관,37.5456305,127.1414536,20120211
2008,강일1단지작은도서관,10,강동구,서울특별시 강동구 아리수로 93가길25,02-427-0051,,,,토 일 법정공휴일,작은도서관,37.56692965,127.1720272,
105,강일도서관,10,강동구,서울특별시 강동구 아리수로 93길 9-14,02-427-7676,02-427-0588,http://www.gdlibrary.or.kr,,매주 화요일 및 법정 공휴일,공공도서관,37.564931,127.173769,20091016
128,강일리버파크6단지 책향기문고,10,강동구,서울특별시 강동구 아리수로94길 19 강일리버파크6단지아파트 관리사무소 2층,02-426-6649,,http://cafe.naver.com/gangilriverpark6,,매주 토요일일요일,작은도서관,37.5642083,127.1767415,20110408
133,게냇골작은도서관,10,강동구,서울특별시 강동구 고덕로80길 111 1층(상일동 상일동주민센터),02-428-7041,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.551561,127.16553,19951101
1558,고덕리엔파크3단지 SH 작은도서관,10,강동구,서울특별시 강동구 상일로 74 고덕리엔파크3단지아파트 315동 1층,070-4234-0490,,http://godeokrien3library.modoo.at/,,매주 화요일,작은도서관,37.5524064,127.175246,20130507
1559,고덕마을도서관,10,강동구,서울특별시 강동구 고덕로 83길 132 2층,02-427-0557,02-428-4901,http://lib.gangdong.go.kr/small/main.do,,토요일일요일,작은도서관,37.5613716,127.1675755,20140422
144,글고운작은도서관,10,강동구,서울특별시 강동구 성내로 13 2층(성내동 성내1동주민센터),02-475-5156,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.530417,127.122564,19950630
137,글마루 작은도서관,10,강동구,서울특별시 강동구 아리수로78길 43-12 2층(고덕동 고덕2동주민센터),070-8153-0560,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.560453,127.164361,20130927
140,글익는작은도서관,10,강동구,서울특별시 강동구 고덕로 137 3층(암사동 암사3동주민센터,02-428-1643,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.554921,127.140866,19951101
141,글향기작은도서관,10,강동구,서울특별시 강동구 구천면로42길 59 2층(천호동 천호1동주민센터),02-470-3613,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.544987,127.136795,19950630
1560,늘솔길작은도서관,10,강동구,서울특별시 강동구 양재대로156길 123 5층(고덕동 고덕1동주민센터),02-429-0423,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.557209,127.151702,20150209
2002,다온작은도서관,10,강동구,서울특별시 강동구 천중로51길 52 (길동),010-3210-8971,,,,토 일 법정공휴일,작은도서관,37.54314371,127.1448969,
134,도담도담북카페,10,강동구,서울특별시 강동구 양재대로138길 37 1층(명일동 명일1동주민센터),02-427-2152,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.549612,127.145989,20130305
2007,래미안힐스테이트고덕작은도서관,10,강동구,서울특별시 강동구 아리수로 50길 50,,,,,토 일 법정공휴일,작은도서관,37.55768842,127.148601,
1263,롯데캐슬도서관,10,강동구,서울특별시 강동구 고덕로 131 강동롯데캐슬퍼스트아파트 관리동 지하1층,070-8702-1899,,http://lib.gangdong.go.kr/small/main.do,,매주 월요일일요일,작은도서관,37.5565581,127.1428018,20120614
78,명성교회도서관,10,강동구,서울특별시 강동구 상암로51길 8,02-440-9140,,http://www.mslib.or.kr,,매주 월요일,공공도서관,37.546825,127.14632,19950101
149,반딧불작은도서관,10,강동구,서울특별시 강동구 천호대로187길 6 2층(길동 길동자치회관),02-474-5157,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.534563,127.142506,20140225
130,반석도서관,10,강동구,서울특별시 강동구 천중로49길 32-10 1층,070-7437-2734,471-7521,http://lib.gangdong.go.kr/small/main.do,,토요일일요일,작은도서관,37.5422497,127.14359,20110904
2005,배움의공동체학사재,10,강동구,서울특별시 강동구 동남로83길21,02-481-9122,,,,토 일 법정공휴일,작은도서관,37.56068179,127.1553933,
143,부엉이작은도서관,10,강동구,서울특별시 강동구 진황도로23길 7 2층(천호동 천호3동주민센터),02-470-3027,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.539791,127.129839,19951101
1563,상상마루작은도서관,10,강동구,서울특별시 강동구 상일로 152 고덕리엔1단지 107동 1층,02-481-4589,,http://lib.gangdong.go.kr/small/main.do,,매주 일요일,작은도서관,37.5605718,127.1716779,20150410
24,서울특별시교육청강동도서관,10,강동구,서울특별시 강동구 양재대로116길 57,02-2225-9800,02-472-0522,http://gdlib.sen.go.kr/,,매월 첫째 셋째 목요일,공공도서관,37.538576,127.143788,19840425
25,서울특별시교육청고덕평생학습관,10,강동구,서울특별시 강동구 고덕동길 295 (고덕2동  296),02-6902-2600,,http://gdllc.sen.go.kr/gdllc_index.jsp,,매월 둘번째 네번째 월요일 및 일요일을 제외한 법정공휴일,공공도서관,37.556092,127.157964,19840830
1260,서원마을작은도서관,10,강동구,서울특별시 강동구 올림픽로 936 2층(암사동 서원마을회관),070-8825-1410,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.563978,127.13344,20120315
2006,성내PLUS작은도서관,10,강동구,서울특별시 강동구 성내로3길18,070-8812-0124,,,,토 일 법정공휴일,작은도서관,37.53082141,127.1228387,
63,성내도서관,10,강동구,서울특별시 강동구 성안로 106-1,02-471-1071,02-471-1072,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,공공도서관,37.532708,127.133244,20070410
" 서울 소재 직장 재직자 """"","6권 이내 기본 14일 연기 7일 ","- 지하철이용시 : 5호선강동역 3번출구 -> 강동웨딩문화센터에서 우회전후 약 150m 직진 - 버스이용시 : 지선버스(녹색)3212 승차->동주병원앞 하자->도보2분 - 주차안내 : 일반차량 5대 장애우차량 1대 주차가능(무료주차)","- 지하1층 : 다목적홀   - 1층 : 어린이·유아 열람실   - 2층 : 종합자료실   - 3층 : 디지털자료실   - 4층 : 사무실 문화교실12",,,,,,,,,,
2009,성내작은도서관,10,강동구,서울특별시 강동구 성안로119,010-7791-4554,,,,토 일 법정공휴일,작은도서관,37.53397775,127.1335062,
1261,솔향기 북카페,10,강동구,서울특별시 강동구 고덕로97길 20 관리사무소 2층(강일동 강일리버파크10단지),02-427-6695,427-6676,http://www.gdlibrary.or.kr/small/,,일 법정공휴일,작은도서관,37.5601,127.180814,20110119
147,아람작은도서관,10,강동구,서울특별시 강동구 양재대로84길 31 2층 (둔촌동 둔촌1동주민센터),02-475-9948 070-8151-9718,,http://www.gdlibrary.or.kr/small/,,토·일·공휴일 매월 마지막 주 화요일,작은도서관,37.523393,127.136783,19951114
1849,아빠하우스작은도서관,10,강동구,서울특별시 강동구 구천면로 279,02-486-7785,,,,월 토 일 법정공휴일,작은도서관,37.544974,127.132864,
145,안말작은도서관,10,강동구,서울특별시 강동구 풍성로37가길 62 (성내동 성내2동주민센터),02-488-2392,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.53238,127.129545,19951101
1067,암사도서관,10,강동구,서울특별시 고덕로 20길 42 (암사동 471-37),02-429-0476,02-429-0471,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,공공도서관,37.552767,127.133281,20100423
122,암사종합시장문고,10,강동구,서울특별시 강동구 고덕로10길 67 2층(암사동),070-8838-0157,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.551708,127.129464,20090917
132,옹기종기작은도서관,10,강동구,서울특별시 강동구 진황도로 190 2층,02-2600-7324,3784-7778,http://lib.gangdong.go.kr/small/main.do,,토요일일요일,작은도서관,37.5293215,127.142986,20111219
2003,좋은땅꿈나책 작은도서관,10,강동구,서울특별시 강동구 풍성로37가길 58 (성내동),070-4422-6911,,,,토 일 법정공휴일,작은도서관,37.53254796,127.1293764,
2004,주영광작은도서관,10,강동구,서울특별시 강동구 양재대로115길 28 (길동),02-489-5259,,,,토 일 법정공휴일,작은도서관,37.53919737,127.1388652,
138,채우리작은도서관,10,강동구,서울특별시 강동구 고덕로24길 49 1층(암사동 암사동자치회관),02-481-6152,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.552495,127.135291,19950630
135,책꾸러미작은도서관,10,강동구,서울특별시 강동구 상암로 260 2층(명일동 명일2동주민센터),02-442-3982,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.546309,127.151325,19951114
123,천일어린이도서관,10,강동구,서울특별시 강동구 구천면로42길 60(천호동),02-478-8600,478-8610,http://www.gdlibrary.or.kr/small/,,일 법정공휴일,작은도서관,37.544701,127.136474,2010509
1562,초대구름도서관,10,강동구,서울특별시 강동구 상암로 27나길 13 2층,02-477-1004,02-479-1004,chodaicloud.modoo.at,,월요일,작은도서관,37.5475566,127.1373067,20140416
148,파랑새작은도서관,10,강동구,서울특별시 강동구 천호대로186길 7 1층(둔촌동 둔촌2동주민센터),02-489-2666,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.533297,127.141907,19951030
76,한국시각장애인복지재단점자도서관[이동도서관],10,강동구,서울특별시 강동구 구천면로 645 한국시각장애인복지관,02-440-5201,(02) 440 - 5219,http://www.hsb.or.kr,,일요일 및 법정공휴일,장애인도서관,37.551057,127.169232,19890220
77,한국점자도서관,10,강동구,서울특별시 강동구 상암로4가길 32 암사2동새마을문고,02-3426-7411~4,,http://infor.kbll.or.kr,,토 일 법정공휴일,장애인도서관,37.55069,127.124835,19690128
124,함께 크는 우리,10,강동구,서울특별시 강동구 고덕로83길 28 2층 1호,02-428-4686,428-4683,http://cafe.daum.net/dokkebiya,,일요일 법정공휴일,작은도서관,37.5582897,127.1688098,20070721
96,해공도서관,10,강동구,서울특별시 강동구 올림픽로 702,02-478-9656,02-478-9658,http://www.gdlibrary.or.kr,,매주 화요일 및 법정 공휴일,공공도서관,37.54385,127.125511,20080626
139,해오름 작은도서관,10,강동구,서울특별시 강동구 상암로3길 28 2층(암사동 암사2동주민센터),02-3426-3070,3426-3070,http://www.gdlibrary.or.kr/small/,,매월 셋째주 금 및 토·일·공휴일,작은도서관,37.551669,127.127197,19970714
142,햇살작은도서관,10,강동구,서울특별시 강동구 천중로17길 42-16 2층(천호동 천호2동자치회관),02-471-4192,,http://www.gdlibrary.or.kr/small/,,토 일 법정공휴일,작은도서관,37.546187,127.131735,19950630
155,CMS영어 작은도서관,21,강북구,서울특별시 강북구 삼양로 삼양로74길 70,,,,,토요일 공휴일,작은도서관,37.6304458,127.021796,20100812
1266,강북마을학교 밝빛작은도서관,21,강북구,서울특별시 강북구 도봉로 88 3층,02-981-0036,908-7091,cafe.naver.com/gangbukmaeul,,일요일,작은도서관,37.6170684,127.03038,20120425
32,강북문화정보도서관,21,강북구,서울특별시 강북구 오현로 145,02-944-3100,02-944-3139,http://www.gblib.or.kr/gangbuk/,,매월 둘째/넷째 월요일 및 법정 공휴일,공공도서관,37.625729,127.036677,20010605
1582,강북새희망도서관,21,강북구,서울특별시 강북구 삼양로 91가길 2 2층,02-991-5133,,http://cafe.daum.net/01089065133,,토요일일요일,작은도서관,37.6368666,127.0159515,
33,강북청소년문화정보도서관,21,강북구,서울특별시 강북구 삼양로54길 68,02-944-3140,02-944-3149,http://www.gblib.or.kr/youth/,,매월 둘째/넷째 월요일 및 법정 공휴일,공공도서관,37.623022,127.021553,20011220
1975,겨자씨 작은도서관,21,강북구,서울특별시 강북구 삼양로 27길 35 삼양제일교회,02-988-0531,,,,월요일,작은도서관,37.61845678,127.0194097,
1703,국립재활원 재활연구소 도서실,21,강북구,서울특별시 강북구 삼각산로 58 국립재활원 재활연구소 3층,02-901-1647,,http://nrc.egentouch.com/main.do?action=main,,토요일일요일 법정공휴일,,37.639171,127.010617,
1976,꼴지만화방 작은도서관,21,강북구,서울특별시 강북구 숭인로 5길 14,,,,,법정공휴일,작은도서관,37.61236539,127.023336,
1904,꿈이익어가는작은도서관,21,강북구,서울특별시 강북구 삼양로 106-1,,,,,월요일,작은도서관,37.613352,127.022262,
1583,꿈익는 책마을 어린이도서관,21,강북구,서울특별시 강북구 삼양로47길 9 삼양동 종합복지센터 2층,02-945-1305,,https://sy.winbook.kr,,일요일 ,작은도서관,37.6229552,127.0185642,
165,단비소리,21,강북구,서울특별시 강북구 삼양로 118길 27 주님의교회,02-904-1717,,,,월요일공휴일,작은도서관,37.6448769,127.01752,20100610
1584,동은 작은도서관,21,강북구,서울특별시 강북구 인수봉로 280-1,02-6080-8927,,,,일요일 공휴일,작은도서관,37.643886,127.0110998,
1903,드림도서관,21,강북구,서울특별시 강북구 오현로 10,,,,,,작은도서관,37.616314,127.031142,
169,미아동새마을문고,21,강북구,서울특별시 강북구 솔매로 49길 14 미아동주민자치센터 2층,02-3778-4069,,http://moongo.gangbuk.go.kr/www/com/?libno=2,,토요일일요일 법정공휴일,작은도서관,37.6276997,127.027004,19970711
1378,미아문화정보도서관,21,강북구,서울특별시 강북구 솔매로49길 14,02-944-3180,,http://www.gblib.or.kr/mia/,,매월 둘째/넷째 월요일 및 법정공휴일,공공도서관,37.627049,127.02675,20130510
151,밝은작은도서관,21,강북구,서울특별시 강북구 삼양로 19길 74,02-980-7798,,http://cafe.naver.com/lightsmallibrary/,,토요일일요일,작은도서관,37.6170499,127.019071,20041206
173,번1동새마을문고,21,강북구,서울특별시 강북구 한천로 996 번1동 임시청사 4층,02-3778-4267,901-2269,http://moongo.gangbuk.go.kr/www/com/?libno=6,,토요일일요일공휴일,작은도서관,37.6392714,127.02888,19961121
1585,번2동새마을문고,21,강북구,서울특별시 강북구 한천로 897 번2동주민센터 2층,02-3778-4319,,http://moongo.gangbuk.go.kr/www/com/?libno=7,,토요일 일요일 공휴일,작은도서관,37.6310383,127.0393131,
175,번3동새마을문고,21,강북구,서울특별시 강북구 한천로 105길 21 번3동주민센터 2층,02-3778-4367,901-2089,http://moongo.gangbuk.go.kr/www/com/?libno=8,,토요일 일요일 공휴일,작은도서관,37.6270648,127.046647,19950301
1977,번동꿈나무작은도서관,21,강북구,서울특별시 강북구 오현로31길 21 201호(번동),,,,,토요일 일요일 법정공휴일,작은도서관,37.62961344,127.0387528,
152,벧엘도서관,21,강북구,서울특별시 강북구 삼양로 19길 109 삼각산 아이원 아파트 상가 내,02-989-5590,,,,월요일,작은도서관,37.6167364,127.017351,20101213
162,별빛초롱문고,21,강북구,서울특별시 강북구 삼각산로 157 2층,02-994-1318,994-1319,www.nayot.org,,일요일 공휴일,작은도서관,37.6425481,127.02114,20081024
1586,북한산둘레길 북카페,21,강북구,서울특별시강북구 4.19로 28길 10,02-940-3754,,,,월요일,작은도서관,37.6434359,127.0026015,
172,삼각산동 새마을문고,21,강북구,서울특별시 강북구 솔샘로 174(미아동) SK 아파트 제 1관리사무소 1층,070-8825-0858,,http://moongo.gangbuk.go.kr/www/com/?libno=5,,토요일일요일공휴일,작은도서관,37.6182931,127.012344,20040220
1972,삼각산어린이도서관,21,강북구,서울특별시 강북구 삼양로19길 34,02-944-3190,,http://www.gblib.or.kr/kids/,,매월 둘쨰넷째 월요일 및 법정 공휴일,작은도서관,37.615185,127.020722,
168,삼양동새마을문고,21,강북구,서울특별시 강북구 삼양로 268 삼양동주민센터 2층,02-3778-4042,,http://moongo.gangbuk.go.kr/www/com/?libno=1,,토요일일요일 법정공휴일,작은도서관,37.6285481,127.018363,19961202
154,서영문고,21,강북구,서울특별시 강북구 삼각산로 98 2층,02-991-2458,999-8290,http://cafe.daum.net/seyly,,토요일일요일 공휴일,작은도서관,37.6414143,127.014981,20021002
1704,성바오로딸수도회 도서관,21,강북구,서울특별시 강북구 오현로7길 34 성바오로딸수도회,02-944-0800,,http://fsp.egentouch.com,,일요일 토요일 오후 교회 대축일 중 본회가 정한 축일,,37.617939,127.032457,
159,성심중앙문고,21,강북구,서울특별시 강북구 삼양로117길 58 성심중앙문고,02-993-0191,998-1669,http://cafe.daum.net/seongsimbooks,,일요일공휴일,작은도서관,37.6449584,127.013224,20071029
34,솔샘문화정보도서관,21,강북구,서울특별시 강북구 솔샘로 177(미아동),02-944-3150,02-944-3159,http://www.gblib.or.kr/solsem/,,매월첫째/셋째월요일및법정공휴일,공공도서관,37.62051,127.012389,20050104
1272,송중동새마을문고,21,강북구,서울특별시 강북구 오패산로 162 송중동 주민센터 3층,02-3778-4119,901-2039,http://moongo.gangbuk.go.kr/www/com/?libno=3,,토요일일요일 공휴일,작은도서관,37.6195366,127.030024,19950701
